,post_page_id,post_id,post_time,post_link,post_message,post_like_count,post_share_count,post_reactor_count,post_comment_count,post_angry_count,post_love_count,post_sad_count,post_wow_count,post_haha_count,post_crawl_time,page_name
0,141108613290,10158025410753291,2019-11-13 05:50:32,https://www.facebook.com/DramaAdd/posts/10158025410753291,ขอแสดงความยินดีกับครอบครัวของคนเจ็บด้วยค้าบบบบบบ,5973,166,6304,425,11,102,48,34,136,2019-11-13 18:23:24.509213,DramaAdd
1,141108613290,10158025241038291,2019-11-13 04:30:49,https://www.facebook.com/DramaAdd/posts/10158025241038291,ตามข่าวเมื่อวานเห็นว่า ตอนแรกพอเกิดเหตุ เจ้าหน้าที่ตำรวจที่อยู่บนศาลวิ่งมาถึงที่เกิดเหตุ แต่ตำรวจมีอาการป่วยเฉียบพลันเพราะร่างกายไม่แข็งแรง เสมียนทนายคนนี้เลยขอปืนจากตำรวจ ยิงใส่ผู้ก่อเหตุไปหกนัด อ้างอิง https://www.thaipost.net/main/detail/50117 เห็นใจเสมียนทนายมาก ขอให้แคล้วคลาดครับ,3370,141,3797,687,14,4,151,72,186,2019-11-13 18:23:24.509213,DramaAdd
2,141108613290,10158025113403291,2019-11-13 03:38:43,https://www.facebook.com/DramaAdd/posts/10158025113403291,ไม่มีลานกลางหมู่บ้านไว้ตากเหรอวะ,13709,1213,17280,2966,1936,13,332,216,1074,2019-11-13 18:23:24.509213,DramaAdd
3,141108613290,10158025087043291,2019-11-13 03:26:22,https://www.facebook.com/DramaAdd/posts/10158025087043291,มีที่ประเทศเราที่เดียวปะวะ ตำรวจซ้อมแผนจำลอง รับมือวัยรุ่นตีกันใน รพ โดยให้อาสาสมัครมารับบทวัยรุ่น ทำเป็นตีกันใน รพ แล้ว หมอพยาบาลกับตำรวจก็ใช้แผนรับมือ,3504,238,5645,519,46,8,215,85,1787,2019-11-13 18:23:25.668006,DramaAdd
4,141108613290,10157981610028291,2019-11-12 14:20:00,https://www.facebook.com/DramaAdd/videos/1193771704151549/,นอกจาก คาเฟ่อเมซอน จะใช้แก้วที่ผลิตจากพืชแล้ว เขายังเอาขยะทั้งหลายแหล่มารีไซเคิลตกแต่งร้านด้วย เช่น เอาแก้วพลาสติกมารีไซเคิลทำเป็นผนังนกมาคร์พร็อพตกแต่งร้าน  เอาแก้ว PET มารีไซเคิลทำเสื้อให้พนักงานใส่ด้วยนะเธอว์ (เหยด) Café Amazon Circular Living  สาขาแรกที่พระราม 4 เลย เปลี่ยนโลกให้ดีขึ้นไปด้วยกันที่คาเฟ่ อเมซอน #TASTEofNATURE  #TASTEforNATURE  #CafeAmazon,641,13,676,27,0,9,0,17,9,2019-11-13 18:23:25.668006,DramaAdd
5,141108613290,10158022910843291,2019-11-12 13:06:07,https://www.facebook.com/DramaAdd/photos/a.10151331013638291/10158022877113291/?type=3,อันนี้ดูแล้วสงสารแมงเม่าที่ตกเป็นเหยื่อ คือเอาจริงๆ ไอ้โมเดลธุรกิจแบบนั้น ถ้าไม่ใช่คนที่รู้จักเอเจนซี่ หรือเคยสัมผัสระบบด้านหลังของเฟซบุ๊คจริงๆ คุณอาจจะเชื่อไอ้พวกนั้นแบบหมดใจเลย คืองี้ มันมีพวกที่อ้างว่า มีโมเดลธุรกิจ โดยให้คนมาสมัครเป็นเครือข่ายกับมัน จากนั้นมันจะเอาสินค้ามาลงในเว็บหรือในโซเชี่ยล แล้วให้คนที่มาสมัครเป็นเครือข่าย ไปช่วยกันปั่นไลค์ ปั่นแชร์ ปั่นรีวิว ให้กับสินค้าชนิดนั้น เช่น อ่ะ สมมุติแม่งโพส บะหมี่สำเร็จรูปซักอัน แล้วคนในเครือข่ายมาช่วยกันไลค์ จนภาพๆนั้นคนก...Continue Reading,2853,307,3042,341,2,5,8,22,152,2019-11-13 18:23:25.668006,DramaAdd
6,141108613290,10158022845803291,2019-11-12 12:40:58,https://www.facebook.com/DramaAdd/posts/10158022845803291,ฮีโร่ ไม่จำเป็นต้องนุ่งกางเกงในสีแดงไว้นอกเสื้อแล้วใส่ผ้าคลุมเหาะลงมาจากบนฟ้า พี่วินมอไซด์รับจ้างคนนี้ที่ช่วยคนที่โดนสายไฟฟ้าช๊อตใส่นี่ฮีโร่โคตรๆ เวลาเจอเหตุการณ์แบบนี้ อย่างแรกต้องตั้งสติ และรีบเอาผู้ประสบภัยออกมาให้ห่างจากจุดที่ไฟรั่วหรือไฟช๊อต ถ้ากรณีไฟบ้านสับคัทเอาท์ได้ ก็ไปสับเลย แต่กรณีแบบนี้ มันสับไม่ได้ ต้องรีบใช้ไม้หรืออุปกรณ์ที่เป็นฉนวน ดึงเอาตัวผู้ประสบภัยออกมาให้ไวที่สุด กรณีนี้ดูจากคลิปพี่วินแกน่าจะใส่ถุงมือที่เป็นฉนวนอยู่เลยไปดึงออกมาได้ ซึ่งถือว่าตัดสินใจได้ทันเวลามาก เพราะถ้าช้ากว่านั้นไม่กี่วิ ผู้ประสบภัยได้โดนช๊อตอีกรอบหรือโดนประกายไฟเผาจนเละแน่ ดูจากคลิปเอาเลยครับ พอดึงออกมาแค่วิสองวิ แม่งประกายไฟพุ่งทันทีเลย ส่วนการปฐมพยาบาลดูตามภาพขวาเลยครับ เครดิตภาพจาก https://www.tosh.or.th/…/media-relations/poster/item/97-201…,8827,348,9224,229,3,262,101,31,0,2019-11-13 18:23:25.668006,DramaAdd
7,141108613290,10158022207923291,2019-11-12 12:00:13,https://www.facebook.com/DramaAdd/posts/10158022207923291,โพสต์นี้ขอเชิญชวนพ่อแม่พี่น้องมาเตรียมตัวใช้ถุงผ้าแทนถุงพลาสติกเพื่อสิ่งแวดล้อมกันแบบถาวรยาวๆไปเลยนะครับ ที่ผ่านมามันมีการรณรงค์ลดใช้ถุงพลาสติกในบางวัน หรือในบางโอกาส เช่น เข้าร้านสะดวกซื้อแล้วปฎิเสธไม่เอาถุง ซึ่งได้ผลดีมาก แต่สำหรับการลดขยะพลาสติกในระยะยาว แค่นั้นยังไม่พอ 1 มกราคม 2563 เป็นต้นไปภาครัฐเขาจะประกาศ ให้ห้างและร้านสะดวกซื้อทั่วประเทศงดใช้และให้บริการถุงพลาสติกแล้ว ทางเซเว่นเขาก็ฝากมาว่า เขาขานรับนโยบายนี้ เลิกใช้ถุงพลาสติกถาวรไปเล้ยยย ฝากพ่อแม่พี่น้องช่วยกันพกถุงผ้าไปซื้อของที่ 7-11 กันด้วยเน้ออออ,2225,71,2296,245,1,51,0,18,1,2019-11-13 18:23:25.668006,DramaAdd
8,141108613290,10158022650128291,2019-11-12 11:05:02,https://www.facebook.com/DramaAdd/posts/10158022650128291,"ขณะที่ผู้ต้องหาทั้ง 4 ได้ยื่นคำร้องพร้อมหลักทรัพย์เป็นเงินสดคนละ 500,000 บาท เพื่อขอปล่อยชั่วคราวในชั้นฝากขังนี้โดยระหว่างนี้ศาลกำลังพิจารณาคำร้องทั้งหมด ต่อมาเวลา 17.40 น.  ศาลอาญาคดีทุจริตและประพฤติมิชอบกลาง ให้ประกัน นายชัยวัฒน์ พร้อมพวก 4 ราย โดยตีราคาประกันคนที่ 800,000 บาท",761,13,966,97,107,2,7,20,69,2019-11-13 18:23:27.162479,DramaAdd
9,141108613290,10158019085633291,2019-11-12 09:15:46,https://www.facebook.com/DramaAdd/photos/a.411063588290/10158019084798291/?type=3,แคมเปญน่าสนใจเชิญชวนพ่อแม่พี่น้องมาอ่านและลงชื่อกัน คือปรกติเวลาคนป่วยเป็นมะเร็งระยะสุดท้ายแล้วกลับไปรักษาประคับประคองที่บ้าน หรือรักษาที่ รพ แต่พ่อแม่พี่น้องจะเห็นข่าวว่า คนไข้บางครอบครัวมีปัญหาขาดถังออกซีเจน ขาดอุปกรณ์ หรือยาที่จะใช้ดูแลผู้ป่วยที่บ้านบ่อยๆเรื่องถังออกซีเจนนี่จริงๆ รพ มีให้ยืม แต่จำนวนมีจำกัด หลังๆคนไข้มะเร็งเยอะขึ้น บางทีก็มาพร้อมกันหลายเคสแล้วถังออกซีเจนก็มีไม่พอที่จะให้คนไข้ยืมทุกเคสพวกเครื่องดูดเสมหะ ไรพวกนี้ส่วนมากครอบครัวคนไข้ก็ต้องออกตังค์ซื้อเอง ส่วนยาแก้ปวด พวกมอร์ฟีน อันนี้ถ้าเป็นแบบยาเม็ดหรือยาน้ำ รพ ให้กลับไปกินที่บ้านได้  แต่ถ้าปวดมากๆและต้องใช้ยาฉีด อันนี้จะเป็นปัญหา เพราะยาพวกมอร์ฟีนมันถือเป็นสารเสพติดที่ต้องจ่ายโดยแพทย์และควบคุมการใช้ใน รพ ยังเอาออกไปฉีดให้คนไข้ที่บ้านไม่ได้หรือยาแก้ปวดบางตัวแบบทรามาดอลก็จ่ายได้จำกัด  เพราะมันมีคนเอาไปใช้เสพเป็นยาเสพติดซะงั้นมูลนิธิกัลยาณการุณย์ Palliative Care Thailand Foundation เลยสร้างแคมเปญนี้เพื่อเชิญชวนประชาชนที่เห็นว่าปัญหาพวกนี้สำคัญนะ มาลงชื่อเรียกร้องให้รัฐสนใจและแก้ปัญหาพวกนี้,1485,65,1510,36,0,15,1,9,0,2019-11-13 18:23:27.162479,DramaAdd
